time, Ex_field_energy, Ex_max_norm
8.1499999999999808e+00 2.9478059519117920e-03 5.7022301673906638e-03
8.1999999999999815e+00 2.9672658326182037e-03 5.1378238862371858e-03
8.2499999999999822e+00 6.9403941925859393e-03 6.2965284477351372e-03
8.2999999999999829e+00 1.4589489015879947e-02 7.8198241758984152e-03
8.3499999999999837e+00 2.5587540900879939e-02 9.5588311878397388e-03
8.3999999999999844e+00 3.9561636713788595e-02 1.1162459304309806e-02
8.4499999999999851e+00 5.6068711100057567e-02 1.2443623069164892e-02
8.4999999999999858e+00 7.4648292093207988e-02 1.3337085575699882e-02
8.5499999999999865e+00 9.4796893200014692e-02 1.4027392076172197e-02
8.5999999999999872e+00 1.1600999896141458e-01 1.5250084212127930e-02
8.6499999999999879e+00 1.3779110432095115e-01 1.6573488527073101e-02
8.6999999999999886e+00 1.5962670918727376e-01 1.7488295991358250e-02
8.7499999999999893e+00 1.8100289240948678e-01 1.8170323597323242e-02
8.7999999999999901e+00 2.0148830684791139e-01 1.8835931865870330e-02
8.8499999999999908e+00 2.2064074014538085e-01 1.9372382757907373e-02
8.8999999999999915e+00 2.3809151348324575e-01 1.9925661861679170e-02
8.9499999999999922e+00 2.5350609935804036e-01 2.0447326101177169e-02
8.9999999999999929e+00 2.6657236331928008e-01 2.0573173980013862e-02
9.0499999999999936e+00 2.7706219599967408e-01 2.0594313640340322e-02
9.0999999999999943e+00 2.8480703456480361e-01 2.0722510776075946e-02
9.1499999999999950e+00 2.8966205208683482e-01 2.0781470945870666e-02
9.1999999999999957e+00 2.9159638276821276e-01 2.0737723385453329e-02
9.2499999999999964e+00 2.9065758867077685e-01 2.0754985343767931e-02
9.2999999999999972e+00 2.8687328094185754e-01 2.0486017326578520e-02
9.3499999999999979e+00 2.8032907344989333e-01 2.0496349996007912e-02
9.3999999999999986e+00 2.7124998574007975e-01 2.0158422044694549e-02
9.4499999999999993e+00 2.5986068774006976e-01 1.9700114192235527e-02
9.5000000000000000e+00 2.4638906663496016e-01 1.9410233033463932e-02
9.5500000000000007e+00 2.3111220057767420e-01 1.8701083066011710e-02
9.6000000000000014e+00 2.1438304114365628e-01 1.8175092696413694e-02
9.6500000000000021e+00 1.9654399990165330e-01 1.7728958286306142e-02
9.7000000000000028e+00 1.7793226700545800e-01 1.6934872999296774e-02
9.7500000000000036e+00 1.5886091989410900e-01 1.6058426264000562e-02
9.8000000000000043e+00 1.3970540277916457e-01 1.5420392476337960e-02
9.8500000000000050e+00 1.2084083288457648e-01 1.4633284832111669e-02
9.9000000000000057e+00 1.0257407715095543e-01 1.3509818994433657e-02
9.9500000000000064e+00 8.5180030950979493e-02 1.2636688614631818e-02
1.0000000000000007e+01 6.8953525512835845e-02 1.1808291427405080e-02
1.0050000000000008e+01 5.4139498469731567e-02 1.1090481889164804e-02
1.0100000000000009e+01 4.0952949064641066e-02 1.0230110464551299e-02
1.0150000000000009e+01 2.9558008005297648e-02 9.3677410521664783e-03
1.0200000000000010e+01 2.0079700265292488e-02 8.4236041075672220e-03
1.0250000000000011e+01 1.2617203829912006e-02 7.3034823471616623e-03
1.0300000000000011e+01 7.2119016934768711e-03 6.5719669972976050e-03
1.0350000000000012e+01 3.8720255786762929e-03 5.6129877410107326e-03
1.0400000000000013e+01 2.5643711442206434e-03 4.6822131773289598e-03
1.0450000000000014e+01 3.2254926402898150e-03 5.2246866237322560e-03
1.0500000000000014e+01 5.7544673580249483e-03 5.9654008711359568e-03
1.0550000000000015e+01 1.0013698697006010e-02 6.9503381108563531e-03
1.0600000000000016e+01 1.5829621478364492e-02 7.9957744507035289e-03
1.0650000000000016e+01 2.2997593788713831e-02 9.2105103463904891e-03
1.0700000000000017e+01 3.1303910995231041e-02 1.0110191342611888e-02
1.0750000000000018e+01 4.0530233448906550e-02 1.0624220414514059e-02
1.0800000000000018e+01 5.0426568025765298e-02 1.0892811567813670e-02
1.0850000000000019e+01 6.0731595870560130e-02 1.1696290657708551e-02
1.0900000000000020e+01 7.1195951051581649e-02 1.2127359778349519e-02
1.0950000000000021e+01 8.1593033789828545e-02 1.2460498767185165e-02
1.1000000000000021e+01 9.1712087633855924e-02 1.3121020423528338e-02
